channel_id,language_code,title,description
UCJZt93WO-evfsfi7YlVmrQA,en_US,TheGrayCuber,"welcome to TheGrayCuber channel, a place for mathematical fun!
"
UCiYjpuUaSfkvdZkmtDU7JRw,or_IN,MyOnlineTrainingHub,"Teaching you Excel and Power BI skills that will get you noticed and promoted. For more, check out my courses here:  https://www.myonlinetraininghub.com/courses"
UCUHW94eEFW7hkUMVaZz4eDg,en_US,minutephysics,"Simply put: cool physics and other sweet science.

""If you can't explain it simply, you don't understand it well enough.""
~Rutherford via Einstein? (wikiquote)

Created by Henry Reich"
UCUHW94eEFW7hkUMVaZz4eDg,es_ES,MinutoDeFísica,
UC7IZjtoKFmgE4f2UnWBUjaA,af_ZA,Jamie Sosiaal,"Voel jy ooit asof sosiale goed baie meer ingewikkeld is as wat dit hoef te wees? Ek ook!
Ek is Jamie, en hierdie kanaal breek al daardie ongeskrewe reëls van menslike interaksie af deur stokfigure te gebruik (want hoekom moet ons dit nog meer ingewikkeld maak?).
Geen jargon of wollerige teorieë hier nie—net reguit wenke oor hoe om ongemaklike gesprekke te hanteer, beter verhoudings op te bou, en te verstaan hoekom ons die vreemde goed doen wat ons doen.
Of jy nou probeer om kantoorpolitiek te navigeer, uitgaan, vriendskappe, of net daardie stem in jou kop wil stop wat alles oordink, ek het jou gedek.
Nuwe video's elke week wat jou sal help om mense (insluitend jouself) te verstaan sonder om 'n sielkunde-graad nodig te hê. Teken in as jy gereed is om jou mensevaardighede te verbeter terwyl jy stokfigure sien wat die lewe verduidelik!"
UC7IZjtoKFmgE4f2UnWBUjaA,am_ET,ጄሚ ሶሻል,"የማህበራዊ ነገሮች ከሚያስፈልጋቸው በላይ የተወሳሰቡ ናቸው ብላችሁ ተሰምቶአችሁ ያውቃል? እኔም እንደዚሁ!
እኔ ጄሚ ነኝ፣ እና ይህ ቻናል የሰዎች መስተጋብርን ያላቸውን ያልተጻፉ ህጎች በዱላ ምስሎች ይገልጻል (ነገሮችን ከዚህ በላይ ለምን እናወሳስባቸው?)።
እዚህ ምንም የባለሙያ ቋንቋ ወይም ተንሳፋፊ ንድፈ ሃሳቦች የሉም—ከውርደት ውይይቶች ጋር ለመወዳደር፣ የተሻሉ ግንኙነቶችን ለመገንባት፣ እና እንግዳ ባህርያትን ለምን እንደምንሰራ ለመገንዘብ ቀጥተኛ ምክሮች ብቻ።
የቢሮ ፖለቲካን ለማስተዳደር፣ ፍቅር፣ ወዳጅነት፣ ወይም በራስዎ ውስጥ ያለውን ሁሉንም ነገር የሚያስታይ ድምጽ ለማቆም የሚሞክሩ ቢሆኑ፣ እርስዎን ሸፍኜአችኋለሁ።
በየሳምንቱ አዲስ ቪዲዮዎች ሰዎችን (እራስዎንም ጨምሮ) የሳይኮሎጂ ዲግሪ ሳያስፈልግ እንዲረዱ ይረዳዎታል። በዱላ ምስሎች ሕይወትን ሲያብራሩ እየተመለከቱ የሰዎች ክህሎቶችዎን ለማሻሻል ዝግጁ ከሆኑ ይመዝገቡ!"
UC7IZjtoKFmgE4f2UnWBUjaA,ar_EG,Jamie Social,"أحيانًا تشعر أن التفاعلات الاجتماعية أكثر تعقيدًا مما ينبغي؟ أنا أيضًا!
أنا جيمي، وهذه القناة تفكك كل تلك القواعد غير المكتوبة للتفاعل الإنساني باستخدام رسومات العصا البسيطة (لأن لماذا نزيد الأمور تعقيدًا؟).
لا مصطلحات معقدة أو نظريات غامضة هنا—فقط نصائح مباشرة حول التعامل مع المحادثات المحرجة، وبناء علاقات أفضل، وفهم لماذا نفعل الأشياء الغريبة التي نفعلها.
سواء كنت تحاول التنقل في سياسة المكتب، أو المواعدة، أو الصداقات، أو تريد فقط إسكات ذلك الصوت في رأسك الذي يحلل كل شيء بشكل مفرط، فأنا أغطي كل ذلك.
فيديوهات جديدة كل أسبوع ستساعدك على فهم الناس (بما في ذلك نفسك) دون الحاجة إلى شهادة في علم النفس. اشترك إذا كنت مستعدًا لتحسين مهاراتك الاجتماعية بينما تشاهد رسومات العصا تشرح الحياة!"
UC7IZjtoKFmgE4f2UnWBUjaA,as_IN,জেমি ছ'চিয়েল,"কেতিয়াবা লাগে নেকি যে সামাজিক কথাবোৰ প্ৰয়োজনতকৈ বহুত জটিল? মোৰো একেই অনুভৱ!
মই জেমি, আৰু এই চেনেলটোৱে মানুহৰ মাজৰ মিলা-মিছাৰ সেই সকলো নলিখা নিয়মবোৰ লাঠি-মানুহৰ ছবিৰে ব্যাখ্যা কৰে (কিয়নো কথাবোৰ আৰু জটিল কৰাৰ প্ৰয়োজন কি?)।
ইয়াত কোনো কাৰিকৰী শব্দ বা ফোপোলা তত্ত্ব নাই—কেৱল বিভ্ৰান্তিকৰ কথা-বতৰা চম্ভালিবলৈ, ভাল সম্পৰ্ক গঢ়িবলৈ, আৰু আমি কিয় আচহুৱা কাম কৰোঁ সেইটো বুজিবলৈ পোনপটীয়া উপায়হে।
তুমি অফিচৰ ৰাজনীতি, প্ৰেম-ভালপোৱা, বন্ধুত্বত খোজ মিলাবলৈ চেষ্টা কৰা হওক বা মনৰ ভিতৰত সকলো কথাকে বেছিকৈ বিশ্লেষণ কৰা সেই মাতটো বন্ধ কৰিব বিচৰা হওক, মই তোমাক সহায় কৰিম।
প্ৰতি সপ্তাহে নতুন ভিডিঅ' যিবোৰে তোমাক মানুহক (নিজকো ধৰি) মনোবিজ্ঞানৰ ডিগ্ৰী নোলোৱাকৈয়ে বুজিবলৈ সহায় কৰিব। যদি তুমি লাঠি-মানুহে জীৱনৰ ব্যাখ্যা দিয়া চাই নিজৰ সামাজিক দক্ষতা বঢ়াবলৈ সাজু, তেন্তে চাবস্ক্ৰাইব কৰা!"
UC7IZjtoKFmgE4f2UnWBUjaA,az_AZ,Ceymi Sosial,"Heç sosial işlərin lazım olduğundan daha mürəkkəb olduğunu hiss etmisiniz? Mən də!
Mən Ceymiyəm və bu kanal çubuq fiqurları istifadə edərək insan qarşılıqlı əlaqəsinin bütün yazılmamış qaydalarını izah edir (nə üçün işləri daha da mürəkkəbləşdirək ki?).
Burada heç bir jarqon və ya boş nəzəriyyə yoxdur - sadəcə yöndəmsiz söhbətlərlə məşğul olmaq, daha yaxşı münasibətlər qurmaq və nə üçün qəribə işlər etdiyimizi başa düşmək üçün sadə məsləhətlər.
İstər ofis siyasətində, tanışlıqda, dostluqlarda naviqasiya etməyə çalışırsınız, istərsə də sadəcə beyninizdə hər şeyi həddindən artıq təhlil edən o səsi dayandırmaq istəyirsiniz - sizinlə yanınızdayam.
Hər həftə yeni videolar sizə psixologiya diplomu olmadan insanları (o cümlədən özünüzü) başa düşməkdə kömək edəcək. Çubuq fiqurlarının həyatı izah etməsini izləyərkən insan münasibətləri bacarıqlarınızı inkişaf etdirməyə hazırsınızsa, abunə olun!"
UC7IZjtoKFmgE4f2UnWBUjaA,be_BY,Джэймі Сацыяльны,"Ці адчувалі калі-небудзь, што сацыяльныя справы значно складанейшыя, чым гэта патрэбна? У мяне таксама!
Я Джэймі, і гэты канал раскладвае ўсе тыя ненапісаныя правілы чалавечага ўзаемадзеяння з дапамогай палачковых фігурак (навошта яшчэ больш ускладняць?).
Тут няма ніякага жаргону ці пустых тэорый—толькі простыя парады па тым, як справіцца з незручнымі размовамі, будаваць лепшыя адносіны і разумець, чаму мы робім дзіўныя рэчы.
Незалежна ад таго, ці спрабуеце вы арыентавацца ў офісных палітыках, знаёмствах, сяброўствах, ці проста хочаце спыніць голас у галаве, які ўсё занадта аналізуе, я дапамагу вам.
Новыя відэа кожны тыдзень, якія дапамогуць вам зразумець людзей (уключаючы сябе) без неабходнасці мець ступень па псіхалогіі. Падпішыцеся, калі гатовы павысіць свае навыкі зносін з людзьмі, глядзячы, як палачковыя фігуркі тлумачаць жыццё!"
