playlist_id,channel_id,channel_title,title,description,published_at,item_count,default_language,playlist_type_id
PL9FC9A4989132C512,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Wackygamer,Celebrating and making light of nerd culture,2010-08-17T05:26:36.6704Z,47,,1
PL3851FCE621847764,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,UP ALL KNIGHT,"Pranks, Hacks, Tricks, Tech, Computers, Mac, PC",2010-08-17T05:29:36.670669Z,6,,1
PL5BB30729E2910578,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,IMG!,Best Images of the Week,2010-08-17T05:31:07.670796Z,52,,1
PL47C0C5F2646CA883,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,MIND BLOW,Factoids for people who like to geek-out.,2010-11-22T18:11:04.943848Z,18,,1
PLC43FCAFC96B4B68E,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,VSAUCE WTF,,2010-11-22T18:26:45.946673Z,7,,1
PL41297918B1F035B3,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,V-LISTS,"Countdowns, video games, nerds, girls, OH MY!",2010-11-22T18:27:12.946745Z,8,,1
PLEC0A5E71DE1EDFCE,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,DONG,"This is cool free stuff you can Do Online Now, Guys.",2011-03-29T19:01:38.067813Z,26,,1
PL9F828611D869B9BB,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,VSAUCE LEANBACK #1,"Nearly 30 minutes of great videos from around YouTube -- hosted by Michael Stevens from vsauce!  TOPIC: Outer Space, Orders of Magnitude, Powers of Ten, Math, and Fun.",2011-04-18T19:46:55.522295Z,12,,1
PLFABC7A3FE32EC688,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Best OPTICAL ILLUSIONS -- LEANBACK #2,Some great optical illusions laid out like a TV show!,2011-04-26T19:41:19.761878Z,15,,1
PL5B111EE10D69CD6E,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,TEMPERATURE SCIENCE!,"Hottest and Coldest Temperatures: PLASMA! Absolute Zero! Liquid Nitrogen, Helium, and Dry Ice!",2011-05-04T20:17:43.868979Z,17,,1
PLAC5BDC262E18B063,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,Awesome Psychology! Vsauce Leanback #4,Classic and important Social Psychology studies!,2011-05-13T20:23:28.916285Z,12,,1
PLB873B2B8207E2366,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,ATMOSPHERE SCIENCE! -- Leanback #5,Cool Videos about AIR.,2011-05-27T22:19:11.995858Z,16,,1
