topicID,lang,name,typeID,layer,description,version,url
MSI0,en,Music,0,1,Study of sound composition performance and musical cultures.,1,https://en.wikipedia.org/wiki/Music
PAR0,en,Performing arts,0,1,Study of live performance disciplines such as dance theatre and film.,1,https://en.wikipedia.org/wiki/Outline_of_performing_arts
VAR0,en,Visual arts,0,1,Study of creation of visual forms across media.,1,https://en.wikipedia.org/wiki/Outline_of_the_visual_arts
HSR0,en,History,0,1,Study of past events and their interpretation.,1,https://en.wikipedia.org/wiki/Outline_of_history
LAW0,en,Law,0,1,Study of systems of law and legal institutions.,1,https://en.wikipedia.org/wiki/Outline_of_law
PHI0,en,Philosophy,0,1,Study of fundamental questions about reality knowledge and values.,1,https://en.wikipedia.org/wiki/Outline_of_philosophy
ETH0,en,Ethics,0,1,Study of moral values and principles.,1,https://en.wikipedia.org/wiki/Ethics
RLS0,en,Religious studies,0,1,Study of religious beliefs practices and institutions.,1,https://en.wikipedia.org/wiki/Religious_studies
LIT0,en,Literature,0,1,Study of written texts and literary traditions.,1,https://en.wikipedia.org/wiki/Outline_of_literature
LIN0,en,Linguistics,0,1,Study of language structure use and meaning.,1,https://en.wikipedia.org/wiki/Outline_of_linguistics
CMU0,en,Communication,0,1,Study of human communication processes and media.,1,https://en.wikipedia.org/wiki/Journalism
GOG0,en,Geography,0,1,Study of places landscapes and spatial relationships on Earth.,1,https://en.wikipedia.org/wiki/Outline_of_geography
PYL0,en,Psychology,0,1,Study of mind behavior and mental processes.,1,https://en.wikipedia.org/wiki/List_of_psychology_disciplines
CUS0,en,Cultural studies,0,1,Study of cultural practices meanings and identities.,1,https://en.wikipedia.org/wiki/Interdisciplinarity
IFC0,en,Information science,0,1,Study of information organization retrieval and use.,1,https://en.wikipedia.org/wiki/Information_science
STH0,en,Scientific thinking,0,1,Study of scientific reasoning and methods.,1,https://en.wikipedia.org/wiki/Scientific_method
CPC0,en,Computer science,0,1,Study of computation algorithms and information processing.,1,https://en.wikipedia.org/wiki/Computer_science
LOG0,en,Logic,0,1,Study of principles of valid reasoning.,1,https://en.wikipedia.org/wiki/Logic
MAT0,en,Mathematics,0,1,Study of numbers structures and abstract patterns.,1,https://en.wikipedia.org/wiki/Mathematics
PYS0,en,Physics,0,1,Study of matter energy and fundamental forces.,1,https://en.wikipedia.org/wiki/Physics
CHE0,en,Chemistry,0,1,Study of matter its composition and chemical reactions.,1,https://en.wikipedia.org/wiki/Chemistry
BOL0,en,Biology,0,1,Study of living organisms and life processes.,1,https://en.wikipedia.org/wiki/Biology
EAC0,en,Earth science,0,1,Study of Earth systems and physical processes.,1,https://en.wikipedia.org/wiki/Earth_science
ENS0,en,Economics,0,2,Study of production distribution and consumption of resources.,1,https://en.wikipedia.org/wiki/Outline_of_economics
SCL0,en,Sociology,0,2,Study of society social institutions and relationships.,1,https://en.wikipedia.org/wiki/Outline_of_sociology
STA0,en,Statistics,0,2,Study of data collection analysis and inference.,1,https://en.wikipedia.org/wiki/Statistics
TEC0,en,Technology,0,2,Study of engineering and technological applications of physics.,1,https://en.wikipedia.org/wiki/Engineering
ASN0,en,Astronomy,0,2,Study of celestial objects and the universe.,1,https://en.wikipedia.org/wiki/Astronomy
PTC0,en,Political science,0,3,Study of political systems institutions and behavior.,1,https://en.wikipedia.org/wiki/Politics
ACC1,en,Accompanying,1,2,Study of supporting a soloist or ensemble with harmonic and rhythmic backing.,1,https://en.wikipedia.org/wiki/Accompaniment
CMI1,en,Chamber music,1,2,Study of small ensemble performance and repertoire.,1,https://en.wikipedia.org/wiki/Chamber_music
CMI2,en,Church music,1,2,Study of music used in religious worship traditions.,1,https://en.wikipedia.org/wiki/Church_music
CON1,en,Conducting,1,2,Study of directing musical ensembles.,1,https://en.wikipedia.org/wiki/Conducting
EMI1,en,Early music,1,2,Study of historical music from earlier periods.,1,https://en.wikipedia.org/wiki/Early_music
JAS1,en,Jazz studies,1,2,Study of jazz history theory and performance practice.,1,https://en.wikipedia.org/wiki/Jazz
MCO1,en,Musical composition,1,2,Study of creating original music.,1,https://en.wikipedia.org/wiki/Musical_composition
MIE1,en,Music education,1,2,Study of teaching and learning music.,1,https://en.wikipedia.org/wiki/Music_education
MGE1,en,Music genre,1,2,Study of classification and characteristics of musical styles.,1,https://en.wikipedia.org/wiki/Music_genre
MIH1,en,Music history,1,2,Study of the historical development of music.,1,https://en.wikipedia.org/wiki/Music_history
MSI2,en,Musicology,1,2,Study of music.,1,https://en.wikipedia.org/wiki/Musicology
MIT1,en,Music theory,1,2,Study of the structures and systems of music.,1,https://en.wikipedia.org/wiki/Music_theory
ORS1,en,Orchestral studies,1,2,Study of orchestral repertoire and performance practice.,1,https://en.wikipedia.org/wiki/Orchestra
OGO1,en,Organology,1,2,Study of musical instruments and their classification.,1,https://en.wikipedia.org/wiki/Organology
REC1,en,Recording,1,2,Study of sound recording and production.,1,https://en.wikipedia.org/wiki/Sound_recording_and_reproduction
DAN1,en,Dance,6,2,Study of movement performance and choreography.,1,https://en.wikipedia.org/wiki/Dance
TLV1,en,Television,1,2,Study of television as a medium and cultural form.,1,https://en.wikipedia.org/wiki/Television
TEA1,en,Theatre,1,2,Study of performance staging and dramatic literature.,1,https://en.wikipedia.org/wiki/Theatre
FIL1,en,Film (studies),1,2,Study of motion picture art industry and culture.,1,https://en.wikipedia.org/wiki/Film_studies
OLI1,en,Oral literature,1,2,Study of spoken narrative traditions and performance.,1,https://en.wikipedia.org/wiki/Oral_literature
EGA1,en,Electronic game,1,2,Study of interactive digital play and design.,1,https://en.wikipedia.org/wiki/Electronic_game
ANI1,en,Animation,1,2,Visual arts animation studies animated visual media and techniques.,1,https://en.wikipedia.org/wiki/Animation
AAR1,en,Applied arts,1,2,Study of functional design oriented artistic practice.,1,https://en.wikipedia.org/wiki/Applied_arts
ARI1,en,Architecture,1,2,Study of design of buildings and built environments.,1,https://en.wikipedia.org/wiki/Architecture
ADI1,en,Art director,1,2,Art direction studies visual leadership for creative productions.,1,https://en.wikipedia.org/wiki/Art_director
CAL1,en,Calligraphy,1,2,Study of artistic handwriting and lettering.,1,https://en.wikipedia.org/wiki/Calligraphy
CRA1,en,Craft,1,2,Study of skilled manual making of functional and decorative objects.,1,https://en.wikipedia.org/wiki/Craft
FAS1,en,Fashion,1,2,Study of design production and culture of clothing.,1,https://en.wikipedia.org/wiki/Fashion
FAR1,en,Fine arts,1,2,Study of traditional visual art forms and practices.,1,https://en.wikipedia.org/wiki/Fine_arts
TAR1,en,Textile arts,1,2,Study of design and making of fabrics and fiber works.,1,https://en.wikipedia.org/wiki/Textile_arts
MME1,en,Mixed media,1,2,Study of art that combines multiple materials and media.,1,https://en.wikipedia.org/wiki/Mixed_media
PRI1,en,Printmaking,1,2,Study of techniques for producing printed artworks.,1,https://en.wikipedia.org/wiki/Printmaking
SAR1,en,Studio art,1,2,Study of hands on visual art practice and critique.,1,https://en.wikipedia.org/wiki/Studio_art
CAR1,en,Culinary Arts,1,2,Study of the creative practice of cooking and food presentation.,1,https://en.wikipedia.org/wiki/Culinary_Arts
DAR1,en,Decorative arts,1,2,Study of art focused on ornament and interior decoration.,1,https://en.wikipedia.org/wiki/Decorative_arts
DAR2,en,Digital art,1,2,Study of art created using digital technologies.,1,https://en.wikipedia.org/wiki/Digital_art
AAD1,en,Architecture and design,1,2,Study of built environment and design practice.,1,https://en.wikipedia.org/wiki/Architecture
PRH1,en,Prehistory,1,2,Study of human past before written records.,1,https://en.wikipedia.org/wiki/Prehistory
ANH1,en,Ancient history,1,2,Study of early civilizations and societies.,1,https://en.wikipedia.org/wiki/Ancient_history
MOH1,en,Modern history,1,2,Study of global history from the early modern period to the present.,1,https://en.wikipedia.org/wiki/Modern_history
ASH1,en,Asian history,1,2,Study of historical developments across Asia.,1,https://en.wikipedia.org/wiki/History_of_Asia
AUH1,en,Australian history,1,2,Study of the history of Australia and its societies.,1,https://en.wikipedia.org/wiki/History_of_Australia
EUH1,en,European history,1,2,Study of the historical development of Europe and its regions.,1,https://en.wikipedia.org/wiki/History_of_Europe
AFH1,en,African history,1,2,Study of the history of Africa and its regions.,1,https://en.wikipedia.org/wiki/African_history
PCE1,en,Pre-Columbian era history,1,2,Study of the histories of the Americas before European contact.,1,https://en.wikipedia.org/wiki/Pre-Columbian_era
