Branch,Description,Synonyms|Description,AutoMatches,ContainsMatch,StartsWithMatch,TokenOverlapMatch
Art,"Creative human expression across visual, auditory and performance media; the umbrella discipline for the fine arts",Visual arts | Study of creation of visual forms across media. (?),-,Visual arts | Study of creation of visual forms across media.,-,-
Biology,Science that studies life,Biology | Study of living organisms and life processes.,Biology | Study of living organisms and life processes.,-,-,-
Chemistry,Scientific field of study – study of properties and behaviours of substances.,Chemistry | Study of matter its composition and chemical reactions.,Chemistry | Study of matter its composition and chemical reactions.,-,-,-
Computer science,Study of computation – study of processes that interact with data.,Computer science | Study of computation algorithms and information processing.,Computer science | Study of computation algorithms and information processing.,-,-,-
Cultural studies,"Interdisciplinary analysis of culture, power and identity in everyday life and media",Cultural studies | Study of cultural practices meanings and identities.,Cultural studies | Study of cultural practices meanings and identities.,-,-,-
Ethics,"Philosophical study of moral values, principles and decision-making",Ethics | Study of moral values and principles.,Ethics | Study of moral values and principles.,-,-,-
Geography,Study of lands and inhabitants of Earth – study of surface of the earth and its inhabitants,Geography | Study of places landscapes and spatial relationships on Earth.,Geography | Study of places landscapes and spatial relationships on Earth.,-,-,-
History,Systematic study and interpretation of past events and human activities,History | Study of past events and their interpretation.,History | Study of past events and their interpretation.,-,-,-
Law,System of rules created and enforced through social or governmental institutions to regulate behaviour,Law | Study of systems of law and legal institutions.,Law | Study of systems of law and legal institutions.,-,-,-
Linguistics,Scientific study of language,Linguistics | Study of language structure use and meaning.,Linguistics | Study of language structure use and meaning.,-,-,-
Literary Studies,Study and analysis of written and oral texts as artistic and cultural artefacts,Literature | Study of written texts and literary traditions. (?),-,-,-,-
Literature,Study and analysis of written and oral texts as artistic and cultural artefacts,Literature | Study of written texts and literary traditions.,Literature | Study of written texts and literary traditions.,-,-,-
Logics,Study of correct reasoning,Logic | Study of principles of valid reasoning. (?),-,-,-,-
Mathematics,"Area of knowledge – study of magnitude, number, and forms",Mathematics | Study of numbers structures and abstract patterns.,Mathematics | Study of numbers structures and abstract patterns.,-,-,-
Music theory,"Analytical study of music’s structures, systems and compositional techniques",Music theory | Study of the structures and systems of music.,Music theory | Study of the structures and systems of music.,-,-,-
Philosophy,Study of general and fundamental questions – science of knowledge or wisdom [citation needed][relevant?],Philosophy | Study of fundamental questions about reality knowledge and values.,Philosophy | Study of fundamental questions about reality knowledge and values.,-,-,-
Physics,Scientific field of study,Physics | Study of matter energy and fundamental forces.,Physics | Study of matter energy and fundamental forces.,-,-,-
Psychology,Study of mental functions and behaviors,Psychology | Study of mind behavior and mental processes.,Psychology | Study of mind behavior and mental processes.,-,-,-
Abiology,"Study of abiotic matter and physicochemical processes that occur independently of life, including those that may have preceded its origin",X,-,-,-,-
Abiophysiology,"Investigation of life-like physicochemical processes in non-living systems, especially as models for physiology",Physiology | Study of functions of living organisms. (?),-,-,-,-
Acanthology,Branch of zoology that examines spined or spine-bearing organisms (notably echinoids) and the taxonomic significance of their spines,X,-,-,-,-
Acoustics,Branch of physics involving mechanical waves – the branch of physics studying the properties of sound.,Acoustics | Study of sound and mechanical waves.,Acoustics | Study of sound and mechanical waves.,-,-,-
Actinobiology,Study of effects of radiation on living things – synonymous with radiobiology.,X,-,-,-,-
Aerodynamics,Branch of dynamics concerned with studying the motion of air,Aerodynamics | Study of motion of air and forces on objects.,Aerodynamics | Study of motion of air and forces on objects.,-,-,-
Aerology,Upper-atmosphere branch of meteorology that analyses atmospheric conditions above the planetary boundary layer,X,-,-,-,-
Aerostatics,Study of gases that are not in motion,Statics | Study of forces in systems at rest. (?),-,Statics | Study of forces in systems at rest.,-,-
Aesthetics,"Philosophical field that analyses beauty, taste and the creation or appreciation of art",Aesthetics / Philosophy of art | Study of beauty art and aesthetic experience. (?),-,Aesthetics / Philosophy of art | Study of beauty art and aesthetic experience.,-,-
Agnoiology,"Epistemological study of the varieties, sources and classifications of ignorance and the unknown",X,-,-,-,-
Agonistics,Chemical which binds to and activates a biochemical receptor,X,-,-,-,-
Agrology,"Soil science, study of soils, especially agricultural soils.[9]",Agrology | Study of soils in agricultural contexts.,Agrology | Study of soils in agricultural contexts.,-,-,-
Algebra,Branch of mathematics,Algebra | Study of structures symbols and algebraic systems.,Algebra | Study of structures symbols and algebraic systems.,-,-,-
Apiology,Scientific study of bees,Apiology | Study of bees and bee biology.,Apiology | Study of bees and bee biology.,-,-,-
Art history,"Scholarly study of artworks, artists and artistic movements in their cultural and historical contexts",History | Study of past events and their interpretation. (?),-,-,-,-
Astronomy,Scientific study of celestial objects,Astronomy | Study of celestial objects and the universe.,Astronomy | Study of celestial objects and the universe.,-,-,-
Atmospheric Science,Inter-disciplinary science that investigates the physical and chemical processes of Earth’s atmosphere,Atmospheric science | Study of planetary atmospheres and their dynamics.,Atmospheric science | Study of planetary atmospheres and their dynamics.,-,-,-
Autology,Word that expresses a property it also possesses – scientific study of oneself.[citation needed],X,-,-,-,-
Automata theory,Study of abstract machines and automata,Automata theory (Formal languages) | Study of automata and formal language theory. (?),-,Automata theory (Formal languages) | Study of automata and formal language theory.,-,-
Barology,study of gravitational force.[13],X,-,-,-,-
Biochemistry,Study of chemical processes in living organisms,Biochemistry | Study of chemical processes in living organisms.,Biochemistry | Study of chemical processes in living organisms.,-,-,-
Biophysics,Study of biological systems using methods from the physical sciences – study of physics of biological phenomena.,Biophysics | Study of physical principles in biological systems.,Biophysics | Study of physical principles in biological systems.,-,-,-
Botany,Study of plant life,Botany | Study of plants and plant biology.,Botany | Study of plants and plant biology.,-,-,-
Chaology,Field of mathematics and science based on non-linear systems and initial conditions,Chaos theory | Study of chaotic behavior in dynamical systems. (?),-,-,-,-
Chaos theory,Field of mathematics and science based on non-linear systems and initial conditions,Chaos theory | Study of chaotic behavior in dynamical systems.,Chaos theory | Study of chaotic behavior in dynamical systems.,-,-,-
Chorology (geography),"Study of regional causal relationships between physical geographic phenomena (e.g., how topography, climate and soils interact within a delimited area)",Geography | Study of places landscapes and spatial relationships on Earth. (?),-,Geography | Study of places landscapes and spatial relationships on Earth.,-,-
Classical mechanics,Description of large objects' physics – study of motion of macroscopic objects.,Classical mechanics | Study of motion under classical physics laws.,Classical mechanics | Study of motion under classical physics laws.,-,-,-
Comparative literature,"Literary discipline comparing texts across languages, cultures and periods",Comparative literature | Study of literature across cultures and languages.,Comparative literature | Study of literature across cultures and languages.,-,-,-
Earth Science,includes all fields of natural science related to the planet Earth.[1],Earth science | Study of Earth systems and physical processes.,Earth science | Study of Earth systems and physical processes.,-,-,-
Embryology,Branch of biology studying prenatal biology,Embryology | Study of embryos and early development.,Embryology | Study of embryos and early development.,-,-,-
Engineering,"Profession applying scientific principles to design, build and optimise systems, structures and devices",Technology | Study of engineering and technological applications of physics. (?),-,-,-,-
Enigmatology,Problem or enigma that tests – study of enigmas (puzzles).[relevant?],X,-,-,-,-
Fluid statics,Branch of fluid mechanics that studies fluids at rest – study of fluids behaviour at rest.,Fluid statics | Study of fluids at rest and pressure forces.,Fluid statics | Study of fluids at rest and pressure forces.,-,-,-
